,phrase,translation
749,Втан ропнэ йӣвсаквыт нйвыг атыянув,"Обломки деревьев, которые прибивает к берегу, мы собираем на дрова"
750,Мнь сортыт мп тн сольхулыг тслыянув,"Маленьких щучек мы высушили как сухари, чтобы (зимой) кормить собак"
751,мниг сусхатуӈкве,казаться маленьким
752,номтыӈыг луӈкве,быть умным
753,Восьрам нуй лыл смлыг нӈкхаты,Зелёное сукно на расстоянии кажется тёмным
754,Овырья  втаге овраг мгыс овырьг лвве,"Реку Овырья (Крутая) так называют по той причине, что её берега крутые"
755,втыг хяс,"""вдруг) подул  ветер"
756,втасыг хомхатас,"сильно начало снежить, метелить"
757,асирмаг ēмтыс,"стало холодно, студённо"
758,рēгыг нёлмыс,установилась жара
759,втасыг тӯлтхатас,заметелило
760,Тав аннумн ёмсякв сунсыстэ,Он меня весьма смело рассмотрел (с ног до головы)
761,Анӯмн ул ртлн,Меня ты не бей
762,нум ёнгасаӈкв тртылын?,"Мама, ты меня отпустишь поиграть?"
763,oма,мама
764,тын,"товарка, подруга"
765,яглаӈум хунь ёхты?,"Тётя, дядя (её муж) когда вернётся?"
766,ный,тётя – сестра матери
767,ёлаль ,вниз (смотреть)
768,мулгаль ,в передний угол или в переднюю часть дома (смотреть)
769,от мулы,передний (угол или часть дома с внутренней стороны)
770,алгаль,вверх по реке
771,алы,верхний (по течению)
772,хоталь,куда?
773,ювле,назад
774,нумыл,сверху
775,нуми,верхний
776,акваг,все время
777,кссыг,напрасно
778,кс,желание
779,Млты псгагув сун слыягыг та патсыг,Прошлогодние наши телята нынче уже стали настоящими ездовыми оленями
780,Мтмат пвлытытыт хоиглымав лаль патнв тим,"Пока мы останавливаемся в разных деревнях, пути вперёд нет"
781,пвыл,деревня
782,улаге,его два самострела
783,нге ,его две жены
784, вим,моя дверь
785,виягум,мои две виянум ‘мои двери
786,улам,мой самострел
787, улагум,мои два самострела
788, колн,твой дом
789, уланум,мои многие самострелы
790,улан,твой самострел
791, улагн,твои два самострела
792, улан,твои многие самострелы
793, колэ,его дом
794, колаге,его два дома
795, коланэ,его многие дома
796, витэ,его дверь
797,вияге,его две двери
798, виянэ,его многие двери
799, улатэ,его самострел
800, уланэ,его многие самострелы
801, улаге,его два самострела
802,как колнын21,твои дома
803,употребляется улагмēн,нас двоих два самострела
804,виягамēн,нас двоих две двери
805,коланмēн в литературном и в сыгвинском коланамēн,нас двоих многие дома
806, вимēн,нас двоих дверь
807, уламēн,нас улагамēн двоих самострел
808,колн,вас двих колагн ‘вас дом
809, уланамēн,нас двоих многие самострелы
810,коланн,вас двоих многие дома
811, виянн,ваши двери
812, улн,вас двоих самострел
813, витн,их двоих дверь
814, уланн,их двоих многие самострелы
815,вӣн,вас двоих дверь
816,пагагēн,их двоих две люльки
817,колагагēн,их двоих два дома
818,пананмēн,нас двоих многие люльки
819,колананмēн,нас двоих многие дома
820,колагув,наши два коланув ‘наши дома
821, виюв,наша дверь
822, виягув,наши две виянув ‘наши двери
823, улав,наш самострел
824, 92  колн,ваш дом
825, колагн,ваши два дома
826, коланн,ваши дома
827, вӣн,ваша дверь
828,виягн,ваши две двери
829,улн,ваш самострел
830,улагн,ваши два самострела
831, коланыл,их дома
832,колаганыл,их два дома
833, вияныл,их двери
834, вияганыл,их две двери
835, уланыл,их самострел
836, уланн,ваши самострелы
837,Такви похатн мпанэ пинсанэ,Рядом с собой он своих собак уложил
838,Тав мāхманэ ӯри,Он поджидает своих товарищей
839,Ань гирисиг пгрисиг сыплуванэ супыг сгрысаге,Он (Эквапыгрись) перерубил шеи девочке и мальчику (ведьмы)
840,Мхум пусын тн магсылныл номсгыт,Люди все о них двоих (о двух детях) заботятся
841,Тн сянн лптал перыгтавесыг,Они (двое детей) отцом были окутаны в одеяло
842,Мн тав колтыл пӯмсялахтв,Мы любуемся его домом
843,Мн ты колыл пӯмсялахтв,Мы этим домом любуемся
844,В первом варианте предложения кол,дом
845,Āтям ёхтыс,Пришёл отец
846,Касюм алысьлаӈкв патыс,Младший брат уже начал охотиться
847,Кт наке хотнгылттастэ,Он вывихнул сустав руки′ от кт нак ′сустав руки (вообще)
848,аквтоп тēлпсамыл сартумтымаг,"Её щёки такие румяные, словно каплей крови помазаны"
849,пйтыг,"""две) щёки (вообще)"
850,Супе рктыл нопитаме,"Она, оказывается, платье (свое) измазала глиной"
851,суп,платье
852,…ӈк кот вяге масыс,"..Она одела кисы, сшитые из белых оленьих камусов"
853,ӈк кот вйыг,двое кисов (вообще) из белых оленьих камусов
854,Хум палт минаме хӯрмит тлэ ты,"Вот уже третий год, как она вышла замуж"
855,тлэ,её год
856,Тйманув холам атыт хталув,"Уже  пятый день, как кончились наши продукты"
857,хталув,наш день
858,хтал,день
859,Ам Лēна нпаке ювмислум,Я Лене книгу её уже вернул
860,Лēна нпаке,Лена книга её
861,…Аким йка витуйсов тēнтэ мат мутра аман ат ньси тай?,Не имеет ли какое-либо волшебство бобровая шапка моего деда?
862,"""предмет принадлежности здесь витуйсов тēнтэ",бобровая шапка его
863,витуйсов тēнт,бобровая шапка
864,юв та трматвес…,У той (самой) женщины (две большие собаки) облизнули с неё снег и лёд (прилипшие к ней на морозе) и впустили её в дом…
865,тӯйтэӈке,снег её – лёд её
866,тӯйт,снег
867,Кол алатэ втн хотнуясаптувес,Крышу дома снёс ветер
868,часть целого здесь алатэ,его крыша
869,Āхвтас ны налэ сака иcыглам,"Оказывается, ручка сковородки очень накалилась‘ (часть целого – нaлэ ‘её ручка"
870,…Ань н ӯнтме сирл тув та кртум,"Та женщина, оказывается, как сидела, так и окаменела"
871,ӯнт,сидеть
872,сирл,как
873,Рохтуме паттат лтыӈ ат хнтыс,"Изза того, что он испугался, не смог вымолвить слова"
874,рохт,испугаться
875,Аким йка витуйсов тēнт витн ёсыма,"Бобровая шапка моего деда, оказывается, промокла"
876,В этом предложении слово тēнт,"шапка, принадлежащая деду"
877,Āтям вӣльт смлыг втвес,Лицо отца от ветра потемнело
878,Сӯмьях лгыл хотсаюм,"Ножка лабаза, оказывается, прогнила"
879,предмет принадлежности лгыл,ножка (лабаза)
880,нврамыт мулмыт,дети шальные
881,мулум,шальной
882,хпсым мосыӈыг ēмтыс,мои легкие заболели
883,мосыӈ,больной
884,посыӈ,светлый
885,от пос,свет
886,осыӈ,толстый
887,осьмарыӈ,хитрый
888,осьмар,хитрость
889,тглыӈ,полный
890,тгл ,полнота
891,номттл,глупый
892,вгтл,слабый
893,вг,"сила, мощь"
894,войкан,белый
895,хоса,длинный
896,лынь,слабый
897,турман,тёмный
898,осься,узкий
899,пēс,старый
900,йис,древний
901,ввта,тонкий
902,сякыр,скупой
903,восьрам,зелёный
904,восьрам тр,зелёный платок
905,хӯл восьрам,рыбья желчь
906,тēлп тр,красное знамя
907,тēлп выгыр,кровь имеет красный цвет
908,ёмас хтал,"хороший, приятный день"
909,мн ёмас лвыльттавесув,"нас здорово, крепко поругали"
910,хоса кол,длинный дом
911,хоса ӯрхатсув,мы долго ждали (когото)
912,смыл,чёрный
913,выгыр,красный
914,атыӈ,вкусный
915,саюм,гнилой
916,котрыӈ,"жгучий, крепкий (о вине)"
917,солвалыӈ,солёный (на вкус)
918,нтнэ,красивый
919,нттл,урод
920,сви,кривой
921,карыс,высокий
922,мокариӈ,горбатый
923,талква,низкий
924,вти,короткий
925,ēӈта,круглый
926,р,сила
927,гмыӈ,больной
928,йильпи,свежий
929,ёмас,хороший
930,оссам,глупый
931,тēрсиӈ,шершавый
932,плям,холодный
933,исум,горячий
934,лоньсиӈ,теплая (о воде)
935,волик,гладкий
936,марум,тесный
937,суиӈ,громкий
938,суйтл,"тихий (о звуке, голосе)"
939,пуныӈ,мохнатый
940,пхвыӈ,широкий
941,йкам нoтэ нумныл яныг,Муж по возрасту старше меня
942,Товлыӈхап тēплохотныл пēлуп,Самолет быстрее теплохода
943,Āгирисюм пгумныл ёмаснув ханисьтахты,Дочка моя учится лучше сына
944,Ты тув млты тувныл тпыӈнуве лыс,"Лето этого года было более изобильным, чем прошлогоднее"
945,сяр сака,слишком
946,сака тк,очень прочный
947,сяр р,самый сильный
948,нёлтл хп,безносая лодка
949,нхтпатл йка,неженатый мужчина
950,смыл пуӈкуп,черноголовый
951,и пуӈк,голова
952,хоса лгп,длиннохвостый
953,лг,хвост
954,олн вӣльтуп ,"""десять кукол) с монетным лицом (загадка о пальцах)"
955,олн,монета
956,и вӣльт,лицо
957,ньт сампа ,"""глазастый чёрт) с наглыми глазами"
958,сам,глаз
959,сēн та мистэ,Эта самая девушка выбрала самый жирный (букв. из жирного жирный) кусок мяса и отдала отцу
960,пхвыӈныл пхвыӈ,самый широкий
961,Мньмнь хвтасаквет атсум,Я собрала самые маленькие камешки
962,Выгыр пуӈкупнув хтпа тыг ат ёхталас?,"Не приходил сюда человек с рыжеватыми волосами (с рыжеватой головой, букв. рыжий головатый)?"
963,выгыр,красный
964,пуӈк,голова
965,Наӈ тк номтупнув хтпа пēриен…,Ты выбери человека с более твёрдым решением
966,тк,крепкий
967,нор кол,деревянный дом
968,тирпась  кӯр,кирпичная печь
969,хвтас пуӈк,"""высокий) каменистый перекат"
970,срсь пум,морская трава
971,птыс,перевес
972,но птс сйт,шпиль перевеса
973,рын,ненец
974,но рнвай,меховая зимняя нарядная обувь
975,нēлум,язык
976,нēлм сак,"""слюнявая) железа под языком"
977,кол нор,бревно дома
978,кӯр тирпась,"кирпич печки (кирпич, годный для укладки печки)"
979,āтям писаль,ружьё отца
980,н тр,платок женщины
981,рмак тр,шелковый платок
982,сй рсь,песчаный берег
983,нвыль пӯт,мясной бульон
984,хорамыӈ суп,платье с вышивкой
985,сйиӈ пвылкан,площадка (перед домом) с песком (имеющая песок)
986,слыӈ хтпа,оленный (имеющий оленя) человек
987,колыӈ ква,"хозяйка (женщина, имеющая дом)"
988,туи хтал,летний день
989,ӣти срипос,ночной (звёздный) свет
990,тлы лх,зимник (ездовая зимняя добротная дорога)
991,пвлыӈ мхум,деревенские жители
992,ӯсыӈ мхум,городские жители
993,соссаӈ мир,местный народ
994,пӯтыӈ тп,"горячая пища, т.е. пища, употребляемая в варёном виде"
995,ныӈ тп,"пища, которая обычно кладётся в тарелку (и так съедается)"
996,ст,семь
997,нёлолов,восемь
998,аквит,первый
999,китыт,второй
1000,хӯрмит,третий
1001,нилaг,на четыре
1002,атыг,на пять
1003,ловыл,по десять
1004,хусыл,по двадцать
1005,китынтыг,второй раз
1006,хӯрмиттыг,третий раз
1007,хтпис,шесть слоев
1008,стпис,семь слоев
1009,стнёлоловкем,приблизительно семьвосемь
1010,китнтыг пл,полтора
1011,хӯрум ттрыс,три волосинки
1012,Хӯрмыг ēмтсув ань ат ёлымтавēв,"Теперь нас стало трое, нас не победят"
1013,аква,один
1014,китыг,два
1015,хӯрум,три
1016,нила,четыре
1017,ат,пять
1018,хт,шесть
1019,ст,семь
1020,нёлолов ,восемь
1021,онтолов ,девять
1022,лов,десять
1023,нёлолов,восемь
1024,онтолов ,девять
1025,к слову онтыс,рядом
1026,лов,десять
1027,аквхуйпулов ,одиннадцать
1028,китхуйпулов ,двенадцать
1029,вт нопыл аква,двадцать один
1030,вт нопыл китыг,двадцать два
1031,вт нопыл онтолов,двадцать девять
1032,налыман нопыл аква,тридцать один
1033,налыман нопыл китыг,тридцать два
1034,втн ака,двадцать один
1035,… налыманн хурм,тридцать три
1036,налыманн нила,тридцать четыре
1037,числительного онтолов ,девять
1038,  ст,семь
1039,китст,двести
1040,хӯрмст,триста
1041,ниласт,четыреста
1042,атст,пятьсот
1043,хтст,шестьсот
1044,стст,семьсот
1045,нёлоловст,восемьсот
1046,онтоловст,девятьсот
1047,стыра,тысяча
1048,с хантыйским jöн,десять
1049,Слым хӯрумн нвлалыма,"Моего оленя, оказывается, трое (имеются в виду волки) преследовали"
1050,Тый ос самалтыт акванл ёлаль тāратахты,"А это самолёты, один из них спускается вниз"
1051,Кит хумыг алысьлаӈкве минасыг,Два товарища пошли на охоту
1052,Нвлалым лов слыт хнтвēсыт,"Десять оленей, которых выслеживали, уже нашли"
1053,аквит,первый
1054,от акв,один
1055,китыг,два
1056,хурмит,третий
1057,нилыт ,четвертый
1058,нила,четыре
1059,атыт ,пятый
1060,от ат,пять
1061,хтыт,шестой
1062,стыт ,седьмой
1063,нёлоловит,восьмой
1064,онтоловит,девятый
1065,онтолов,девять
1066,ловит,десятый
1067,от лов,десять
1068,Слум олнанув хум латыл нилаг уртсанув,Мы вырученные деньги поделили (каждому человеку) на четыре части
1069,ловыл  тӯп патвесув,"Немного рыбы поймали, по десять нам только досталось"
1070,Маньнэ стпис рмак трыл пинылттым лы,На голову невесты одето семь слоев шелкового платка (т.е. семь шелковых платков)
1071,хӯрмахкем,приблизительно три
1072,нилахкем,приблизительно четыре
1073,слова аква,один
1074,аквманкем,приблизительно один
1075,ловманкем,приблизительно десять
1076,или ман?,какой?
1077,ам кēмум,подобный мне
1078,Св хӯл алыгламув ловманкем тлыг ты ēмтыс,"Прошло приблизительно десять лет с тех пор, как мы ловили много рыбы"
1079,Кӯтюврисюв нилахатахкем пгыл рēпыгтлы,Наша собачка примерно по четырепять щенят приносит (каждый раз)
1080,Āнум сакати аквман солковил вос майласлын!,Давал ты мне когданибудь хоть один рубль!
1081,кила суп,полкилограмма
1082,хтал суп,полдня
1083,…Хультум хтнтыг плув с лкква уртыслув,Оставшиеся пять с половиной (рублей) тоже поделили каждому поровну
1084,лмт,часть
1085,акв нилыт лмт,одна четвертая часть
1086,акв ловит лмт,одна десятая часть
1087,акв стыт  лмт,одна седьмая часть
1088,акв хусыт  лмт,одна двадцатая часть
1089,хӯрмыг уртым урты тит лмтаге,"цельное, которое разделили на три, его две части"
1090,ловыг уртым урты ат лмтэ,"цельное, которое поделили на десять, пять его частей"
1091,Хӯрмит хтал хтылас,Третий день наступил
1092,Ловманкем кол хультыс,Осталось примерно десять домов
1093,Хаснйив аквалаквал ньсēв,Мы имеем только по одному карандашу
1094,Нврамт хӯрмылхӯрмыл лльсыт,Ребята построились по три человека
1095,Хӯрум пге хӯрмыг лвсанэ,"Три сына имеет, тремя способами назначил им жить"
1096,хотьют,кто
1097,хоты,который (из двух или многих предметов)
1098,  ут,нечто
1099,манырсыр,какой
1100,маныр,что
1101,  сыр,какой
1102,манакем,сколько приблизительно
1103,  кем,похожий
1104,манырсырман,что за (неопределённый)
1105,ам,я
1106,тав,он
1107,мēн,мы (двое)
1108,нн,вы (двое)
1109,тн,они (двое)
1110,мн,мы
1111,тн,сухожилие
1112,майи,мы
1113,нумн или нумна,мне
1114,наӈн или наӈна,тебе
1115,нумт лвльттытэ,меня он(а) ругает
1116, ам,я
1117,Тав кона квлыс,Он вышел на улицу
1118,Мн нхлльсув,Мы поднялись (встали) с места
1119,Тав ктэ хотпувлахтас,Его рука распухла
1120,Ам нвраманум пусн нхпатсыт,Мои дети все стали взрослыми
1121,Ам самагум сака посыӈыг,Мои глаза очень хорошо видят
1122,Āмпе тав ляльтэ сгтaклы,Собака его к нему ласкается
1123,Ам наӈын всьнтлыслум,Я тебя видывал не раз
1124,тувыл тнаныл ёлӯнттылтасанэ,"Мальчик дал товарищам семена репы, а затем попросил их посеять"
1125,Хоталь минас тав?,Куда же он пропал?
1126,сякв тгн!,"Разве ты маленькая, грудь сосёшь!"
1127,Наӈ тав ман тыяныт сёхлаӈ!,Что за такая безалаберность!
1128,Тый ос сй ны ман матыр,"А это то ли чайная чашка, то ли нечто другое"
1129,Аман ӯлумн ёхтувес,То ли он спать захотел
1130,манос лы,"То ли женщина его видела, то ли мужчина его видел, неизвестно"
1131,Тав ул ань тēплохотув тав юв,"Это, наверное, теплоход, он идёт"
1132,наӈ ньсюӈкв хунь хсаве,"Дать, может быть, отдал бы я (свою дочь), как видно, жить (дружно) не умеют"
1133,амки,я сам
1134,наӈки,ты сам
1135,такви,он сам
1136,мēнки,мы (двое) сами
1137,ннки,вы (двое) сами
1138,тнки,они (двое) сами
1139,мнки,мы сами
1140,ннки,вы сами
1141,тнки,они сами
1142,Aмти атум лхсанум,Эти грибы сама собирала
1143,Ннти ӯсман тӯран ӯргалым ньсēн,Вы сами свои сетематериалы берегите
1144, ,мы себя
1145,ннкинн ,вы себя
1146,тнкинныл ,они себя
1147,Амкинам трн ктн пувылтаслум,Я сам себя подверг наказанию (по неосмотрительности)
1148, амкинам амким,я себя
1149,таквитэ наӈкинан,ты себя
1150,таквтитэ,он себя
1151, амкинмн амкимн,я себе
1152, наӈкиннн наӈкиннн,ты себе
1153,тавтитн,он себе
1154, амкинамныл амкимныл,от себя
1155, наӈкиннныл,от себя
1156,амкинам 28,я себя
1157,наӈкинан ,ты себя
1158,таквинтэ ,он себя
1159,мēнкинмēн ,мы (двое) себя
1160,ннкиннн ,вы (двое) себя
1161,тнкинтн ,они (двое) себя
1162,Aмккем хнтвēсум,Меня одного нашли
1163,Омам тактēт колт лы,Мама моя живёт в доме одна
1164,Китгагум хӯлп ӯнттг,Мои два товарища (из нас троих) ставят сети
1165,Китгагув лм втг,Двое из нас многих собирают черёмуху
1166,акватэ,один из них двоих
1167,аквн,один из вас троих
1168,акватн,один из них троих
1169, аквав,один из нас многих
1170,акванн,один из вас многих
1171,акванл,один из них многих
1172,Аквамēн ӯльпан нххӈхыс,Один из нас троих забрался на кедр
1173,Акванл ёлюнумтыма,"Оказывается, один из них (многих) задремал"
1174,аквам,один (одного) из нас двоих
1175, Для трех лиц  аквамēн,один (одного) из нас троих
1176, Для многих лиц  аквав,один (одного) из нас многих
1177,аквамн,по одному из нас двоих
1178, аквамēнн,одному из нас троих
1179, аквавн,одному из нас многих
1180, аквамныл,от одного из нас двоих
1181, аквамēнныл,от одного из нас троих
1182, аквавныл,от одного из нас многих
1183, аквамтыл,одним из нас троих
1184, аквамēнтыл,одним из нас троих
1185, аквавтыл,одним из нас многих
1186,тыи,этот
1187,та,то
1188,таи,тот
1189,тамле,такой
1190,Тамле н!,Вот какая женщина!
1191,Тыи яныгми,Этот (куст) растёт
1192,тыи ,этот
1193,число тыиг ,эти (двое)
1194,тыитыт ,эти
1195, тыин ,этому
1196, тыигн ,этим (двоим)
1197,тыитытн ,этим
1198, тыиныл  тыигныл,от этого
1199,тыитытныл ,от этих
1200, тыил ,этим
1201, тыигтыл ,этими (двоими)
1202,тыитытыл ,этими
1203, тыиг ,этим стал
1204, тыигыг ,этими (двоими) стал
1205, тыитыг,этими стал
1206,манхурип,какой
1207,хоттьют? хотют? ,кто?
1208,мныр?,что?
1209,манхурип?,какой?
1210,манырсыр?,какой?
1211,манарыӈ?,что имеющий?
1212,манах?,сколько?
1213,мансвит?,какое количество?
1214,манакем?,сколько приблизительно?
1215,хотысёс?,который раз?
1216,хотыйыг?,которым (по счету стало)?
1217,хоты?,который?
1218,Миннв манахит хталув?,Который день мы находимся в пути?
1219,Хōӈхам ёхты?,Кто (мой) приедет?
1220,Турум манарумн ӯнтсаве?,Почему мне икается
1221,мансвитум патымат,"Проверю мои слопцы, на скольких (моих) попалась дичь"
1222,хӈхатытыл ,кем (многими)
1223,манарытыл,чем (многими)
1224, хӈхатыг,кем (многими) стал
1225,манарытыг,чем (многими) стал
1226, хӈхагтыл,кем (двоими)
1227,манарыгтыл,чем (двоими)
1228, хӈхагыгыг,кем (двоими) стал
1229,манарыгыг,что (двое)
1230, хӈхал,кем
1231,манарыл,чем
1232, хӈхаг,кем стал
1233, манарыг,чем стал
1234, хӈхатныл,от кого (многих)
1235,манарытныл,от чего (многих)
1236,хӈхагныл,от кого (двоих)
1237,манарыгныл,от чего (двоих)
1238,хӈханыл,от кого
1239,манарныл,от чего
1240,хонхатытн,кому (многим)
1241,манарытн манарытытн,чему (многим)
1242,хӈхагыгн хӈхагн,кому (двоим)
1243,манарыгыгн,чему (двоим)
1244,хӈхан,кому
1245, манарн,чему
1246, хӈхат,кто (многие)
1247,манарт,что (многие)
1248,хӈхагыг,кто (двое)
1249,и мaныр?,что?
1250, хӈха,кто
1251,мныр,что
1252,Ам ктум ёлыплт хӈха кт?,Под моей рукой чья же рука?
1253,Пӯтвта хӈха тотым ёхтыс,Почтовая подвода кого же привезла?
1254,Ты тл мансвит нврам ханисьтахты,В этом году сколько детей учится?
1255,свитт,все
1256,ксыӈ,каждый
1257,тва,иной
1258,мтан,другой
1259,тват,иные
1260,тōва,иной
1261,мōтан,другой
1262,«Наӈ лль пгрись!»,Каждый ребёнок скажет: «Ты плохой мальчик!»
1263,хōтпа,кто-то
1264,хотты,некто
1265,матыр,что-то
1266,матырсырмат,какой-то
1267,манамар ут,какой угодно (неизвестный)
1268,матахкем,сколькото
1269,матсвитмат,скольконибудь
1270,мат,какой-то
1271, хтпаг,кто-то кого-то (двое)
1272,хтпагн,кому-то (двум)
1273,матахкемн,к сколькому-то (ещё добавить)
1274,хтпагт,у кого-то (у двух)
1275,матахкемт,в скольких-то
1276,хтпагныл,от кого-то (двух)
1277,матахкēмныл,от нескольких-то
1278,хтпагтыл,над кем-то (двумя)
1279,матахкēмтыл,над несколькими
1280,* хтпагыг,в кого-то (двое)
1281,матахкēмыг,в несколько
1282,нмхтпа,никто
1283,нмхотты,никто
1284,нматыр,ничего
1285,нматырсыр,никакой
1286,нматах,нисколько (не иметь)
1287,нматырсвит,никакое количество
1288,нмхоттют,никто
1289,нмхӈха,никого
1290,нмхурип,никакой
1291,хурип,похожий
1292,аквты наӈ рӯтан,"По реке Сыгве в какую бы деревню ты ни приехал, как будто все они родные"
1293,аманрыг ань прамтахтг!,"кто-нибудь из посторонних заходит к нам, почему же они (дети) начинают шалить!"
1294,Манамарум ут ксалв,Мы что угодно можем заметить
1295,«Ам нматырл ат пилгум!»,Зайчик говорит: «Я никого (никаких зверей) не боюсь!»
1296,Нматсвит  врт ат тлум,Никакое количество грибов в лесу не выросло
1297,Сйаны Aннэ тав сакватастэ,Чайную чашку (именно) Анна сломала
1298,Пушкин руптаве,Пушкин является любимым
1299,Ввта ӈк порат ты кнькил тахсаве,Во время тонкого льда на этих коньках катаются
1300,холыт,завтра
1301,млхтал,вчера
1302,мтхтал,послезавтра
1303,аньмӯнт,недавно
1304,"""вместо",Муж и жена жили
1305,ӯнтуӈкве,сесть
1306,йиӈкве ,идти
1307,тгум,я ем
1308,ювум,я иду
1309,тгн,ты ешь
1310,ювн,ты идешь
1311,тг,он ест
1312,тйум,я ем
1313,ӯнтэй,они двое сядут
1314,лэйит,"они живут, поживают"
1315,ӯнты,он сядет
1316,ӯнтг,они двое сядут
1317,ӯнтгыт,они многие сядут
1318,ювлум,я на него одного иду
1319, ӯнтытн,они (двое) занимают (место)
1320, тгтэ,он ест (то)
1321, ӯнтытэ,он занимает (место)
1322, тглум,я ем (то)
1323,ӯнтылн,ты занимаешь (место)
1324,число ӯнтылум,я занимаю (место)
1325, тглн,вы едите (то)
1326, тглув,мы едим (то)
1327, ӯнтыяныл,они занимают (место)
1328,ам ввем,"""именно) тот меня знает"
1329,наӈ ввен,"""именно) тот тебя знает"
1330,тав вве,"""именно) тот его знает"
1331,мēн ввемēн,"""именно) тот нас (двоих) знает"
1332,нн ввēн,"""именно) тот вас (двоих) знает"
1333,тн ввēг,"""именно) тот их (двоих) знает"
1334,мн ввēв,"""именно) тот нас знает"
1335,нн ввēн,"""именно) тот вас знает"
1336,тн ввет,"""именно) тот их знает"
1337,ханисьтахтасум,я учился
1338,ӯрхатасум,я ждал когото
1339,акитировайтасанув,мы их агитировали
1340,ӯнтсаг,они (двое) сели
1341,ханлысагēн  мисагēн мисагагēн  ханлыстн,они (двое) склеили
1342, мистн,они (двое) дали
1343, мисагн мислн,вы дали (то)
1344, ханлыслн,вы (двое) склеили
1345,мислумēн,мы (двое) дали
1346, ханлысаге мисаге ханлыстэ,он склил (то)
1347,мистэ,он дал (то)
1348, ӯнтыс,он сел
1349,ханлыс,он клеил
1350,ханиситахтас,он учился
1351,тсн,ты ел
1352,ханлысн,ты клеил
1353,ханисьтахтасн,ты учился
1354,мислум,я дал (то)
1355,ханлыслын,ты склеил (то)
1356, ӯнтсум,я сел
1357,тсум,я ел
1358,ханлысум,я клеил
1359,ханлāӈкве,клеить
1360,ханьсьтахтуӈкве,учиться
1361, мисаныл,они дали (то)
1362,мислув,мы дали (то)
1363,вӈкве,знать
1364,ам вāйвēсум,он меня знал
1365,наӈ вйвēсн,он тебя знал
1366,тав вйвес,он его знал
1367,мēн вйвесамēн,он нас двоих знал
1368,нн вйвесн,он вас двоих знал
1369,тн вйвесг,он их двоих знал
1370,мн вйвесув,он нас знал
1371,нн вйвесн,он вас знал
1372,тн вйвēсыт,он их знал
1373,таях,немного погодя
1374,мтхтал усь,лишь послезавтра
1375,ӯнтгм тах,я сяду
1376,ӯнтгум,я сажусь
1377,врилм тах,я сделаю то
1378,врилум,я делаю то
1379,Наӈ тотэн,ты неси
1380,наӈ йиен,ты иди
1381,Нн тотн42,вы двое несите
1382,нн йиēн,вы двое идите
1383,Нн тотн,вы несите
1384,нн йиēн,вы идите
1385,хӯнтлан,слушай
1386,хӯнтлн,слушайте
1387,минн,идите
1388,но тен,ты ешь
1389,мигум,я даю (что-либо)
1390,но маен,ты дай (что-либо)
1391,выгум,я беру
1392,но вуен,ты возьми
1393,лыгум,я бросаю
1394,но лаен,ты бросай
1395,ювам,я иду (сюда)
1396,но яен,ты иди (сюда)
1397,число объекта наӈ тотлн,ты неси (то)
1398,наӈ тēлн,ты ешь (то)
1399,нн тотэлн,вы (двое) несите (то)
1400,нн телн,вы (двое) ешьте (то)
1401,нн тотэлн,вы (многие) несите (то)
1402,нн телн,вы (многие) ешьте (то)
1403,число объекта наӈ тотгн,ты неси (их два предмета)
1404,наӈ тēгн,ты ешь (их два предмета)
1405,нн тотэгн,вы (двое) несите (их два предмета)
1406,нн тегн,вы (двое) ешьте (их два предмета)
1407,нн тотэгн,вы (многие) несите (их два предмета)
1408,нн тегн,вы (многие) ешьте (их два предмета)
1409,число объекта наӈ тотн,ты неси (их многие предметы)
1410,наӈ тēн,ты ешь
1411,нн тотн,вы (двое) несите (их многих предметы)
1412,нн тēн,вы (двое) ешьте
1413,нн тотн,вы (многие) несите (их многие предметы)
1414,нн тēн,вы (многие) ешьте
1415,тав вос тотаве,пусть (именно тот он) его увезет
1416,ханисьтахтынув ,он учился бы
1417,мӣнув,он дал бы
1418,алхтнув,он дрался бы
1419,хассумтнув,он дернул бы
1420,лмаянув,он взял бы (быстро)
1421,ханисьтахтынӯвн,ты учился бы
1422,минувн,ты дал бы
1423,алхатнувн,ты дрался бы
1424,хассумтанувн,ты дернул бы
1425,лмаянувн,ты взял бы (быстро)
1426,число  ханлынӯвум,я клеил бы
1427,ханисьтахтынӯвум,я учился бы
1428,минӯвум,я дал бы
1429,алхатнӯвум,я дрался бы
1430,хассумтанӯвум,я дернул бы
1431,лмаянӯвум,я взыл бы (быстро)
1432,ханисьтахтуӈкве,учиться
1433,алхатуӈкве,драться
1434,хассумтаӈкве,дёрнуть
1435,āлмаяӈкве,взять быстро
1436,Аким ты пувнэ сāлым тав вос выгтэ,"Этого оленя, которого держу, возьми ты, мой свёкр"
1437,минувлув,мы дали бы то
1438,хассумтанувлув,мы дернули бы то
1439,ханлынувлн,вы приклеили бы то
1440,минувлн,вы (двое) дали бы то
1441,хассумтанувлн,вы дернули бы то
1442,ханлынуванл,они приклеили бы то
1443,минуванл,они дали бы то
1444,хассумтануванл,они дернули бы то
1445,минувем,меня (или мне) дал бы
1446,хассумтанувем,меня дернул бы
1447,тлттынувен,тебя посадил бы
1448,минувен,тебе дал бы
1449,хассумтанувен,тебя дёрнул бы
1450,тлттынуве,его посадил бы
1451,минуве,ему дал бы
1452,хассумтануве,его дёрнул бы
1453,минувтн,они (двое) дали бы то
